ward_id,ward_name,year,month,date,rainfall_mm,avg_temp_c,groundwater_depth_m,tanker_price_inr,population_density,complaint_count,risk_score,risk_label
2,Mahadevapura,2025,10,2025-10-01,103.5,21.2,15.06,954.0,16370,32,52.0,Medium
2,Mahadevapura,2025,11,2025-11-01,44.1,19.4,15.11,1018.0,16852,23,45.4,Medium
2,Mahadevapura,2025,12,2025-12-01,8.3,18.0,15.19,994.0,15684,32,57.3,High
2,Mahadevapura,2026,1,2026-01-01,3.0,18.8,15.2,1018.0,16968,29,58.8,High
2,Mahadevapura,2026,2,2026-02-01,6.3,21.3,15.22,961.0,16958,33,58.4,High
2,Mahadevapura,2026,3,2026-03-01,13.2,24.4,15.38,1535.0,16720,49,76.8,Critical
2,Mahadevapura,2026,4,2026-04-01,35.9,27.3,15.61,1621.0,17112,48,90.2,Critical
2,Mahadevapura,2026,5,2026-05-01,68.1,30.7,15.77,1634.0,16764,48,96.9,Critical
2,Mahadevapura,2026,6,2026-06-01,65.7,31.6,15.79,1032.0,16877,25,59.7,High
3,Marathahalli,2024,7,2024-07-01,69.7,30.8,16.35,961.0,15786,27,61.1,High
3,Marathahalli,2024,8,2024-08-01,116.4,27.6,16.15,994.0,17362,30,57.1,High
3,Marathahalli,2024,9,2024-09-01,121.5,26.0,15.9,1044.0,15931,24,55.6,High
3,Marathahalli,2024,10,2024-10-01,131.8,21.7,15.7,994.0,16170,30,47.6,Medium
3,Marathahalli,2024,11,2024-11-01,45.0,18.9,15.79,999.0,16839,33,57.0,High
3,Marathahalli,2024,12,2024-12-01,8.6,18.2,15.86,980.0,16028,34,62.1,High
3,Marathahalli,2025,1,2025-01-01,2.8,19.5,15.91,988.0,15991,25,52.3,Medium
3,Marathahalli,2025,2,2025-02-01,7.1,22.4,16.01,1012.0,16002,30,42.6,Medium
3,Marathahalli,2025,3,2025-03-01,10.4,24.9,16.2,1623.0,16330,44,82.7,Critical
3,Marathahalli,2025,4,2025-04-01,33.6,28.9,16.41,1584.0,15570,45,87.3,Critical
3,Marathahalli,2025,5,2025-05-01,77.6,30.9,16.62,1642.0,15849,41,78.8,Critical
3,Marathahalli,2025,6,2025-06-01,64.5,31.0,16.71,975.0,16229,31,55.3,High
3,Marathahalli,2025,7,2025-07-01,81.4,30.2,16.74,1034.0,15411,33,62.6,High
3,Marathahalli,2025,8,2025-08-01,82.8,27.9,16.5,1058.0,16436,24,54.9,Medium
3,Marathahalli,2025,9,2025-09-01,163.3,25.0,16.31,1025.0,17376,31,60.8,High
3,Marathahalli,2025,10,2025-10-01,139.6,22.3,16.12,1003.0,17061,30,57.5,High
3,Marathahalli,2025,11,2025-11-01,45.5,19.8,16.15,978.0,16675,33,54.6,Medium
3,Marathahalli,2025,12,2025-12-01,9.5,18.6,16.16,983.0,15943,27,52.3,Medium
3,Marathahalli,2026,1,2026-01-01,2.6,19.3,16.24,1027.0,15528,28,60.3,High
3,Marathahalli,2026,2,2026-02-01,5.8,21.5,16.28,1048.0,16568,32,65.6,High
3,Marathahalli,2026,3,2026-03-01,12.5,24.8,16.42,1602.0,16907,49,92.4,Critical
3,Marathahalli,2026,4,2026-04-01,32.9,28.5,16.61,1635.0,15841,41,84.2,Critical
3,Marathahalli,2026,5,2026-05-01,67.5,29.9,16.81,1623.0,15730,44,86.1,Critical
3,Marathahalli,2026,6,2026-06-01,75.2,30.1,16.86,1028.0,15454,31,52.0,Medium
4,KR Puram,2024,7,2024-07-01,63.8,29.9,15.75,976.0,16322,26,59.6,High
4,KR Puram,2024,8,2024-08-01,113.4,27.5,15.49,939.0,15879,34,47.7,Medium
4,KR Puram,2024,9,2024-09-01,155.3,25.5,15.29,1008.0,16699,24,39.3,Medium
4,KR Puram,2024,10,2024-10-01,106.9,21.2,15.08,984.0,15236,30,59.8,High
4,KR Puram,2024,11,2024-11-01,37.0,20.0,15.16,941.0,16439,34,50.7,Medium
4,KR Puram,2024,12,2024-12-01,7.6,18.6,15.23,1027.0,15593,30,52.0,Medium
4,KR Puram,2025,1,2025-01-01,3.3,20.0,15.25,1008.0,16501,29,43.7,Medium
4,KR Puram,2025,2,2025-02-01,7.3,22.5,15.28,975.0,15541,28,42.2,Medium
4,KR Puram,2025,3,2025-03-01,13.2,25.6,15.43,1623.0,16071,47,83.2,Critical
4,KR Puram,2025,4,2025-04-01,33.9,28.4,15.65,1563.0,16416,43,80.5,Critical
4,KR Puram,2025,5,2025-05-01,82.8,30.6,15.81,1628.0,16461,37,85.2,Critical
4,KR Puram,2025,6,2025-06-01,66.1,30.9,15.88,985.0,14857,32,53.1,Medium
4,KR Puram,2025,7,2025-07-01,68.6,30.8,15.91,1036.0,16202,25,47.5,Medium
4,KR Puram,2025,8,2025-08-01,117.9,27.1,15.72,992.0,16316,30,50.7,Medium
4,KR Puram,2025,9,2025-09-01,146.3,25.6,15.46,959.0,16184,25,49.8,Medium
4,KR Puram,2025,10,2025-10-01,122.3,22.0,15.24,1005.0,15462,30,49.2,Medium
4,KR Puram,2025,11,2025-11-01,38.4,19.0,15.26,943.0,15872,31,49.3,Medium
4,KR Puram,2025,12,2025-12-01,8.2,18.9,15.33,1031.0,15849,25,47.1,Medium
4,KR Puram,2026,1,2026-01-01,2.7,19.2,15.35,935.0,15868,25,58.4,High
4,KR Puram,2026,2,2026-02-01,6.3,22.4,15.37,1021.0,15782,32,55.4,High
4,KR Puram,2026,3,2026-03-01,11.4,24.9,15.52,1536.0,16682,42,83.6,Critical
4,KR Puram,2026,4,2026-04-01,33.4,27.1,15.71,1544.0,15098,43,77.6,Critical
4,KR Puram,2026,5,2026-05-01,101.3,29.4,15.92,1608.0,16381,39,74.0,High
4,KR Puram,2026,6,2026-06-01,72.0,30.9,16.01,1049.0,15411,29,57.8,High
5,Bellandur,2024,7,2024-07-01,87.2,29.7,17.51,1054.0,16314,27,47.9,Medium
5,Bellandur,2024,8,2024-08-01,76.5,28.0,17.31,1012.0,16463,34,71.8,High
5,Bellandur,2024,9,2024-09-01,137.5,25.5,17.14,1057.0,17250,34,71.2,High
5,Bellandur,2024,10,2024-10-01,114.4,22.2,16.94,1064.0,17653,26,53.4,Medium
5,Bellandur,2024,11,2024-11-01,37.4,20.4,17.0,1004.0,16249,34,67.1,High
5,Bellandur,2024,12,2024-12-01,10.4,19.1,17.06,985.0,16080,31,51.2,Medium
5,Bellandur,2025,1,2025-01-01,2.7,19.1,17.16,1063.0,17150,37,76.9,Critical
5,Bellandur,2025,2,2025-02-01,6.3,21.7,17.17,1055.0,16941,33,67.7,High
5,Bellandur,2025,3,2025-03-01,9.6,25.3,17.38,1654.0,16182,45,91.5,Critical
5,Bellandur,2025,4,2025-04-01,35.5,28.8,17.55,1681.0,16576,52,99.7,Critical
5,Bellandur,2025,5,2025-05-01,82.8,30.2,17.71,1651.0,17940,45,91.0,Critical
5,Bellandur,2025,6,2025-06-01,84.0,31.4,17.78,1036.0,16375,30,60.6,High
5,Bellandur,2025,7,2025-07-01,77.5,30.8,17.8,1050.0,17855,31,65.1,High
5,Bellandur,2025,8,2025-08-01,81.1,29.1,17.6,1014.0,16317,32,67.6,High
5,Bellandur,2025,9,2025-09-01,116.9,26.1,17.43,1032.0,16235,36,69.9,High
5,Bellandur,2025,10,2025-10-01,128.4,22.1,17.2,1063.0,17960,28,58.3,High
5,Bellandur,2025,11,2025-11-01,38.6,20.8,17.25,1069.0,17728,29,67.0,High
5,Bellandur,2025,12,2025-12-01,8.5,20.0,17.31,1065.0,16566,29,63.4,High
5,Bellandur,2026,1,2026-01-01,3.5,19.9,17.34,1037.0,16690,32,57.2,High
5,Bellandur,2026,2,2026-02-01,5.8,21.8,17.36,1054.0,17144,28,65.1,High
5,Bellandur,2026,3,2026-03-01,9.0,25.6,17.57,1694.0,16772,49,100,Critical
5,Bellandur,2026,4,2026-04-01,39.7,28.1,17.71,1669.0,17180,51,96.4,Critical
5,Bellandur,2026,5,2026-05-01,79.2,30.4,17.89,1698.0,16820,49,91.3,Critical
5,Bellandur,2026,6,2026-06-01,69.2,32.1,17.94,1068.0,17300,36,73.7,High
6,HSR Layout,2024,7,2024-07-01,73.3,29.8,16.71,1044.0,16665,22,47.1,Medium
6,HSR Layout,2024,8,2024-08-01,105.1,28.8,16.55,1038.0,15788,23,53.3,Medium
6,HSR Layout,2024,9,2024-09-01,167.3,24.9,16.35,1049.0,15012,32,51.0,Medium
6,HSR Layout,2024,10,2024-10-01,117.0,21.3,16.13,1010.0,16505,24,46.0,Medium
6,HSR Layout,2024,11,2024-11-01,48.4,20.0,16.16,1045.0,15206,27,46.3,Medium
6,HSR Layout,2024,12,2024-12-01,8.3,18.0,16.25,1046.0,16275,23,54.0,Medium
6,HSR Layout,2025,1,2025-01-01,2.9,20.0,16.31,1000.0,15420,32,54.0,Medium
6,HSR Layout,2025,2,2025-02-01,5.9,22.0,16.34,1016.0,16070,34,57.0,High
6,HSR Layout,2025,3,2025-03-01,13.7,25.3,16.5,1627.0,16292,46,73.9,High
6,HSR Layout,2025,4,2025-04-01,36.0,28.0,16.72,1608.0,16518,44,81.7,Critical
6,HSR Layout,2025,5,2025-05-01,89.1,30.4,16.92,1659.0,16238,47,90.0,Critical
6,HSR Layout,2025,6,2025-06-01,84.6,31.3,16.96,1018.0,16079,31,47.5,Medium
6,HSR Layout,2025,7,2025-07-01,70.8,30.7,16.98,988.0,15999,34,62.8,High
6,HSR Layout,2025,8,2025-08-01,116.1,28.7,16.74,1051.0,15884,32,58.9,High
6,HSR Layout,2025,9,2025-09-01,136.9,24.2,16.57,978.0,16853,33,63.2,High
6,HSR Layout,2025,10,2025-10-01,146.1,22.9,16.38,996.0,16501,22,45.2,Medium
6,HSR Layout,2025,11,2025-11-01,41.5,20.1,16.45,1020.0,16565,34,53.7,Medium
6,HSR Layout,2025,12,2025-12-01,8.3,18.0,16.54,1020.0,16751,24,48.9,Medium
6,HSR Layout,2026,1,2026-01-01,3.5,20.6,16.57,1005.0,15200,34,52.4,Medium
6,HSR Layout,2026,2,2026-02-01,6.1,21.2,16.67,980.0,15827,30,60.0,High
6,HSR Layout,2026,3,2026-03-01,13.5,24.8,16.87,1600.0,15750,38,76.0,Critical
6,HSR Layout,2026,4,2026-04-01,33.4,28.9,17.01,1627.0,15807,49,96.9,Critical
6,HSR Layout,2026,5,2026-05-01,71.4,30.6,17.2,1696.0,15637,42,87.7,Critical
6,HSR Layout,2026,6,2026-06-01,62.3,31.7,17.25,1047.0,16203,29,55.8,High
7,Koramangala,2024,7,2024-07-01,73.1,29.3,15.23,938.0,15130,20,40.7,Medium
7,Koramangala,2024,8,2024-08-01,119.4,27.5,14.97,1014.0,13606,28,39.4,Medium
7,Koramangala,2024,9,2024-09-01,132.3,24.3,14.71,984.0,13652,17,49.1,Medium
7,Koramangala,2024,10,2024-10-01,116.6,21.5,14.46,917.0,15083,24,49.1,Medium
7,Koramangala,2024,11,2024-11-01,44.0,20.2,14.51,924.0,14608,29,38.9,Medium
7,Koramangala,2024,12,2024-12-01,10.7,19.6,14.56,960.0,15528,18,36.0,Medium
7,Koramangala,2025,1,2025-01-01,3.1,20.0,14.6,1006.0,13747,18,44.1,Medium
7,Koramangala,2025,2,2025-02-01,5.4,21.4,14.67,971.0,14250,30,54.1,Medium
7,Koramangala,2025,3,2025-03-01,11.9,25.0,14.8,1572.0,15306,40,79.3,Critical
7,Koramangala,2025,4,2025-04-01,39.3,27.3,14.98,1532.0,14278,38,68.4,High
7,Koramangala,2025,5,2025-05-01,75.5,29.9,15.17,1554.0,13905,44,75.5,Critical
7,Koramangala,2025,6,2025-06-01,86.2,30.0,15.18,1003.0,15224,24,44.4,Medium
7,Koramangala,2025,7,2025-07-01,82.6,29.7,15.19,965.0,14931,27,52.9,Medium
7,Koramangala,2025,8,2025-08-01,113.6,28.8,14.97,960.0,14756,20,42.1,Medium
7,Koramangala,2025,9,2025-09-01,137.7,24.0,14.79,956.0,15125,24,52.4,Medium
7,Koramangala,2025,10,2025-10-01,145.8,22.8,14.6,976.0,14885,17,42.4,Medium
7,Koramangala,2025,11,2025-11-01,49.8,19.2,14.61,986.0,14218,21,30.9,Medium
7,Koramangala,2025,12,2025-12-01,11.0,19.0,14.65,930.0,14866,17,37.9,Medium
7,Koramangala,2026,1,2026-01-01,2.9,19.5,14.68,954.0,15043,27,50.4,Medium
7,Koramangala,2026,2,2026-02-01,5.5,20.9,14.69,979.0,14948,21,50.1,Medium
7,Koramangala,2026,3,2026-03-01,12.0,24.7,14.85,1579.0,13828,38,70.1,High
7,Koramangala,2026,4,2026-04-01,38.7,27.8,15.04,1516.0,14391,40,63.4,High
7,Koramangala,2026,5,2026-05-01,82.3,29.4,15.18,1543.0,14256,32,75.4,Critical
7,Koramangala,2026,6,2026-06-01,67.5,30.6,15.25,981.0,15267,27,45.4,Medium
8,BTM Layout,2024,7,2024-07-01,65.3,29.1,16.02,1037.0,15352,26,61.0,High
8,BTM Layout,2024,8,2024-08-01,99.5,27.1,15.75,976.0,15803,27,56.7,High
8,BTM Layout,2024,9,2024-09-01,174.0,24.1,15.56,963.0,15378,26,42.2,Medium
8,BTM Layout,2024,10,2024-10-01,117.3,21.6,15.33,950.0,15221,20,45.9,Medium
8,BTM Layout,2024,11,2024-11-01,50.1,19.4,15.4,1017.0,15830,22,36.8,Medium
8,BTM Layout,2024,12,2024-12-01,8.4,19.1,15.47,1002.0,14554,29,55.2,High
8,BTM Layout,2025,1,2025-01-01,3.5,20.2,15.52,1030.0,15329,27,50.4,Medium
8,BTM Layout,2025,2,2025-02-01,7.2,22.2,15.53,945.0,15084,23,38.2,Medium
8,BTM Layout,2025,3,2025-03-01,9.9,24.9,15.7,1583.0,14314,45,79.8,Critical
8,BTM Layout,2025,4,2025-04-01,40.5,28.6,15.89,1596.0,15125,41,80.1,Critical
8,BTM Layout,2025,5,2025-05-01,100.0,30.0,16.1,1619.0,14843,40,70.1,High
8,BTM Layout,2025,6,2025-06-01,62.6,30.1,16.19,989.0,15629,26,51.2,Medium
8,BTM Layout,2025,7,2025-07-01,71.4,30.0,16.23,1008.0,14517,24,50.2,Medium
8,BTM Layout,2025,8,2025-08-01,99.1,27.6,16.02,1029.0,15495,20,42.6,Medium
8,BTM Layout,2025,9,2025-09-01,160.3,24.5,15.82,1011.0,16013,30,49.0,Medium
8,BTM Layout,2025,10,2025-10-01,130.4,21.2,15.59,1036.0,15597,24,50.3,Medium
8,BTM Layout,2025,11,2025-11-01,50.7,19.3,15.63,1020.0,15826,28,52.3,Medium
8,BTM Layout,2025,12,2025-12-01,10.3,19.3,15.68,1007.0,15047,24,44.1,Medium
8,BTM Layout,2026,1,2026-01-01,2.8,19.1,15.77,993.0,14653,21,43.8,Medium
8,BTM Layout,2026,2,2026-02-01,7.1,21.1,15.85,1030.0,15967,19,40.2,Medium
8,BTM Layout,2026,3,2026-03-01,13.0,24.2,16.02,1567.0,15863,44,83.0,Critical
8,BTM Layout,2026,4,2026-04-01,31.0,27.8,16.19,1625.0,14675,40,81.2,Critical
8,BTM Layout,2026,5,2026-05-01,95.1,30.0,16.37,1596.0,15817,40,82.8,Critical
8,BTM Layout,2026,6,2026-06-01,71.3,31.8,16.47,1008.0,14764,24,53.4,Medium
9,JP Nagar,2024,7,2024-07-01,91.3,30.6,15.18,955.0,14522,27,44.2,Medium
9,JP Nagar,2024,8,2024-08-01,90.8,28.5,14.99,953.0,14766,19,52.0,Medium
9,JP Nagar,2024,9,2024-09-01,135.3,24.7,14.81,943.0,14142,20,37.3,Medium
9,JP Nagar,2024,10,2024-10-01,109.4,21.8,14.56,1014.0,13990,16,51.6,Medium
9,JP Nagar,2024,11,2024-11-01,50.6,19.9,14.64,930.0,13814,27,43.9,Medium
9,JP Nagar,2024,12,2024-12-01,8.5,19.2,14.68,918.0,13398,19,48.5,Medium
9,JP Nagar,2025,1,2025-01-01,3.3,20.0,14.73,929.0,13816,20,32.3,Medium
9,JP Nagar,2025,2,2025-02-01,6.4,22.4,14.77,930.0,15050,24,36.2,Medium
9,JP Nagar,2025,3,2025-03-01,12.3,24.3,14.91,1549.0,14470,34,68.0,High
9,JP Nagar,2025,4,2025-04-01,39.0,27.0,15.13,1522.0,14292,37,77.3,Critical
9,JP Nagar,2025,5,2025-05-01,91.8,29.8,15.31,1586.0,15202,34,63.4,High
9,JP Nagar,2025,6,2025-06-01,85.9,30.5,15.38,997.0,14783,25,41.5,Medium
9,JP Nagar,2025,7,2025-07-01,68.1,30.1,15.45,954.0,14798,22,52.8,Medium
9,JP Nagar,2025,8,2025-08-01,111.5,28.4,15.19,1007.0,14155,20,35.0,Medium
9,JP Nagar,2025,9,2025-09-01,138.3,23.9,15.01,977.0,15218,23,44.0,Medium
9,JP Nagar,2025,10,2025-10-01,143.0,21.2,14.77,997.0,14972,20,33.4,Medium
9,JP Nagar,2025,11,2025-11-01,42.8,20.4,14.84,1010.0,14013,28,49.9,Medium
9,JP Nagar,2025,12,2025-12-01,9.8,19.6,14.89,1002.0,14694,17,42.4,Medium
9,JP Nagar,2026,1,2026-01-01,3.7,19.7,14.91,931.0,14562,20,38.6,Medium
9,JP Nagar,2026,2,2026-02-01,6.4,22.2,14.94,928.0,14980,20,49.5,Medium
9,JP Nagar,2026,3,2026-03-01,11.3,25.7,15.17,1524.0,14515,36,78.3,Critical
9,JP Nagar,2026,4,2026-04-01,39.2,28.7,15.31,1583.0,14803,31,60.6,High
9,JP Nagar,2026,5,2026-05-01,99.2,29.7,15.47,1586.0,14450,40,80.3,Critical
9,JP Nagar,2026,6,2026-06-01,74.1,31.3,15.52,991.0,14036,24,44.5,Medium
10,Jayanagar,2024,7,2024-07-01,91.3,29.9,12.66,923.0,12924,16,26.7,Low
10,Jayanagar,2024,8,2024-08-01,128.9,27.2,12.47,911.0,12645,24,28.4,Low
10,Jayanagar,2024,9,2024-09-01,182.8,24.6,12.2,923.0,14091,17,22.6,Low
10,Jayanagar,2024,10,2024-10-01,113.9,21.8,12.02,936.0,13824,25,42.3,Medium
10,Jayanagar,2024,11,2024-11-01,51.2,19.5,12.02,871.0,12678,23,20.7,Low
10,Jayanagar,2024,12,2024-12-01,10.3,18.4,12.09,907.0,13624,14,23.1,Low
10,Jayanagar,2025,1,2025-01-01,4.0,19.9,12.14,930.0,14047,14,29.4,Low
10,Jayanagar,2025,2,2025-02-01,7.1,21.6,12.2,889.0,14156,23,33.4,Medium
10,Jayanagar,2025,3,2025-03-01,11.2,25.6,12.36,1496.0,12511,30,55.0,High
10,Jayanagar,2025,4,2025-04-01,33.4,27.3,12.56,1447.0,14282,40,72.2,High
10,Jayanagar,2025,5,2025-05-01,84.4,30.1,12.74,1432.0,13006,35,62.3,High
10,Jayanagar,2025,6,2025-06-01,70.6,31.6,12.74,934.0,13841,21,43.7,Medium
10,Jayanagar,2025,7,2025-07-01,86.2,30.5,12.74,873.0,13683,20,33.4,Medium
10,Jayanagar,2025,8,2025-08-01,119.9,27.5,12.52,913.0,13654,17,34.5,Medium
10,Jayanagar,2025,9,2025-09-01,159.1,25.3,12.32,888.0,12546,14,26.1,Low
10,Jayanagar,2025,10,2025-10-01,134.0,21.1,12.1,884.0,13837,23,38.3,Medium
10,Jayanagar,2025,11,2025-11-01,54.2,18.7,12.13,909.0,13038,19,21.2,Low
10,Jayanagar,2025,12,2025-12-01,9.2,17.9,12.15,892.0,13631,16,36.7,Medium
10,Jayanagar,2026,1,2026-01-01,3.0,19.1,12.2,886.0,13926,19,34.1,Medium
10,Jayanagar,2026,2,2026-02-01,6.7,21.3,12.2,949.0,13411,26,32.1,Medium
10,Jayanagar,2026,3,2026-03-01,12.0,23.8,12.37,1493.0,13709,34,61.9,High
10,Jayanagar,2026,4,2026-04-01,42.6,27.5,12.58,1486.0,13928,33,53.6,Medium
10,Jayanagar,2026,5,2026-05-01,95.0,29.3,12.76,1428.0,13409,38,57.1,High
10,Jayanagar,2026,6,2026-06-01,94.0,31.0,12.76,967.0,13188,23,28.5,Low
11,Banashankari,2024,7,2024-07-01,90.8,29.3,14.68,967.0,12851,16,32.2,Medium
11,Banashankari,2024,8,2024-08-01,107.1,27.6,14.47,963.0,13416,22,36.2,Medium
11,Banashankari,2024,9,2024-09-01,186.0,25.2,14.22,939.0,14417,21,36.8,Medium
11,Banashankari,2024,10,2024-10-01,123.5,22.4,13.98,967.0,14720,22,47.1,Medium
11,Banashankari,2024,11,2024-11-01,49.5,19.9,13.98,947.0,14694,24,42.5,Medium
11,Banashankari,2024,12,2024-12-01,10.3,19.2,14.03,918.0,14018,22,43.2,Medium
11,Banashankari,2025,1,2025-01-01,2.9,19.9,14.03,996.0,12980,14,36.6,Medium
11,Banashankari,2025,2,2025-02-01,5.8,22.1,14.06,979.0,14601,26,51.2,Medium
11,Banashankari,2025,3,2025-03-01,10.5,24.0,14.21,1511.0,14084,36,69.3,High
11,Banashankari,2025,4,2025-04-01,33.0,28.5,14.37,1520.0,14304,39,76.0,Critical
11,Banashankari,2025,5,2025-05-01,97.9,30.1,14.51,1515.0,13876,32,70.7,High
11,Banashankari,2025,6,2025-06-01,73.3,30.3,14.52,984.0,13394,19,49.3,Medium
11,Banashankari,2025,7,2025-07-01,92.1,29.5,14.53,981.0,13519,27,47.1,Medium
11,Banashankari,2025,8,2025-08-01,125.9,28.3,14.28,936.0,14188,19,31.6,Medium
11,Banashankari,2025,9,2025-09-01,144.2,24.7,14.03,955.0,14626,23,37.5,Medium
11,Banashankari,2025,10,2025-10-01,138.7,21.9,13.78,961.0,13822,22,30.7,Medium
11,Banashankari,2025,11,2025-11-01,44.3,20.0,13.78,972.0,12770,21,46.8,Medium
11,Banashankari,2025,12,2025-12-01,9.6,19.6,13.86,944.0,13159,27,40.6,Medium
11,Banashankari,2026,1,2026-01-01,3.5,20.3,13.86,954.0,13830,24,45.9,Medium
11,Banashankari,2026,2,2026-02-01,7.6,21.1,13.95,916.0,14599,27,35.3,Medium
11,Banashankari,2026,3,2026-03-01,12.5,25.6,14.17,1569.0,14513,29,65.2,High
11,Banashankari,2026,4,2026-04-01,32.1,28.7,14.32,1582.0,13847,36,81.3,Critical
11,Banashankari,2026,5,2026-05-01,103.1,29.9,14.46,1500.0,13085,35,58.9,High
11,Banashankari,2026,6,2026-06-01,70.1,31.2,14.54,970.0,14275,16,46.9,Medium
12,Basavanagudi,2024,7,2024-07-01,95.1,29.9,13.83,963.0,12410,14,26.5,Low
12,Basavanagudi,2024,8,2024-08-01,101.1,27.2,13.58,965.0,13948,16,40.3,Medium
12,Basavanagudi,2024,9,2024-09-01,134.2,24.9,13.37,890.0,12276,16,35.1,Medium
12,Basavanagudi,2024,10,2024-10-01,136.6,22.4,13.16,910.0,12275,24,33.1,Medium
12,Basavanagudi,2024,11,2024-11-01,48.8,18.9,13.16,894.0,13535,20,30.5,Medium
12,Basavanagudi,2024,12,2024-12-01,10.4,18.6,13.21,947.0,12477,15,35.0,Medium
12,Basavanagudi,2025,1,2025-01-01,3.9,18.6,13.24,951.0,12196,19,23.2,Low
12,Basavanagudi,2025,2,2025-02-01,6.9,21.6,13.29,897.0,12696,19,26.3,Low
12,Basavanagudi,2025,3,2025-03-01,11.5,24.8,13.42,1498.0,13657,33,65.3,High
12,Basavanagudi,2025,4,2025-04-01,37.8,26.7,13.59,1534.0,13487,32,68.1,High
12,Basavanagudi,2025,5,2025-05-01,101.9,30.0,13.72,1493.0,12168,40,71.2,High
12,Basavanagudi,2025,6,2025-06-01,68.8,31.5,13.71,934.0,13578,22,50.0,Medium
12,Basavanagudi,2025,7,2025-07-01,89.7,29.7,13.8,933.0,13779,24,35.3,Medium
12,Basavanagudi,2025,8,2025-08-01,118.0,28.0,13.58,955.0,12736,14,30.6,Medium
12,Basavanagudi,2025,9,2025-09-01,163.7,25.1,13.32,883.0,12085,16,33.0,Medium
